"","nmajor","major1","major2","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_internships","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary"
"1",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Hispanic/Latino","Male","2.00 - 2.49",2020,"0",NA,NA,NA,NA,NA,NA,NA,"seeking continuing education",NA,NA,NA
"2",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,"Business Legal Studies","No Minor","White","Male","3.00 - 3.49",2019,"0","Toledo","BAM Nutual","Finance",NA,NA,"0","0","accepted fulltime job","Yes","Yes",NA
"3",1,"Marketing","none",0,1,0,1,0,0,0,0,0,0,0,"Humanities","Humanities","Asian","Female","3.50 - 4.00",2021,"0","Columbus","CoHatch","General Management",NA,NA,"2","1","accepted fulltime job","Yes","Yes",40000
"4",1,"Finance","none",0,1,0,0,1,0,0,0,0,0,0,"Accountancy","Accountancy","White","Male","3.00 - 3.49",2020,"0",NA,"PwC",NA,NA,NA,"2",NA,"accepted fulltime job",NA,NA,NA
"5",1,"Marketing","none",0,1,0,1,0,0,0,0,0,0,0,"Supply Chain Management","Supply Chain Management","White","Male","3.00 - 3.49",2019,"0","Columbus","Abercrombie & Fitch","General Management",NA,NA,"2","1","accepted fulltime job","Yes","Yes",63500
"6",1,"Marketing","none",0,1,0,0,0,0,0,0,0,1,0,"Humanities","Humanities","White","Female","3.00 - 3.49",2020,"0","Cleveland","McDonald's","Consulting Marketing / Sales Operations / Procurement",NA,NA,"4","4","accepted fulltime job","Yes","Yes",68000
"7",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,"Economics","No Minor","White","Female","3.50 - 4.00",2019,"Cum Laude","Chicago","Ernst & Young","Analytics

 Consulting",NA,NA,"3","1","accepted fulltime job","Yes","Yes",58000
"8",1,"Accountancy","none",0,1,0,1,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.50 - 4.00",2021,"Cum Laude","Cleveland","EY","Accounting",NA,NA,"3","1","accepted fulltime job","Yes","Yes",53000
"9",1,"Finance","none",0,1,0,0,0,0,1,0,0,0,0,"Accountancy","Accountancy","White","Female","3.50 - 4.00",2019,"Summa Cum Laude","New York City","JP Morgan",NA,NA,NA,NA,NA,"accepted fulltime job","Yes","Yes",85000
"10",1,"Supply Chain & Operations Mgmt","none",0,1,0,1,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2020,"0","Augusta","Textron Specialized Vehicles","Operations / Procurement",NA,NA,"1","1","accepted fulltime job","Yes","Yes",58000
"11",1,"Accountancy","none",0,1,1,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",2021,"0","Chicago","EY","Accounting",NA,NA,"1","1","accepted fulltime job","Yes","Yes",62000
"12",1,"Marketing","none",0,0,0,0,0,0,0,0,0,0,0,"Entrepreneurship","No Minor","White","Male","3.00 - 3.49",2019,"0","Los Angeles",NA,NA,NA,NA,"2","1","seeking employment",NA,NA,NA
"13",1,"Business Economics","none",0,0,0,0,1,0,0,0,0,0,0,"Entrepreneurship","No Minor","Unknown","Female","3.50 - 4.00",2020,"Cum Laude",NA,NA,NA,NA,NA,"2","1","seeking employment",NA,NA,NA
"14",1,"Accountancy","none",0,1,0,1,0,0,0,0,0,1,0,"No Minor","No Minor","Unknown","Female","3.50 - 4.00",2021,"Cum Laude","Chicago","KPMG",NA,NA,NA,"1","1","accepted fulltime job",NA,NA,NA
"15",1,"Marketing","none",1,1,0,0,0,0,0,0,0,1,0,"No Minor","No Minor","White","Female","2.50 - 2.99",2020,"0",NA,"Duff & Phelps",NA,NA,NA,NA,NA,"accepted fulltime job",NA,NA,NA
"16",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Male","2.00 - 2.49",2019,"0",NA,NA,NA,NA,NA,"2","1","seeking employment",NA,NA,NA
"17",1,"Finance","none",0,1,0,0,1,0,0,0,0,0,0,"Interactive Media Studies","Interactive Media Studies","Black or African American","Male","3.00 - 3.49",2019,"0","Witchita","Textron","Accounting",NA,NA,"1","1","accepted fulltime job","Yes","Yes",63000
"18",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2019,"0","new york",NA,"Consulting",NA,NA,"0","0","accepted fulltime job","Yes","Yes",NA
"19",1,"Accountancy","none",0,1,1,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2020,"0","Chicago","Deloitte",NA,"MAcc",NA,"1",NA,"accepted fulltime job",NA,NA,62000
"20",1,"Marketing","none",0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.00 - 3.49",2020,"0","Minneapolis","E. & J. Gallo Winery","Marketing / Sales",NA,NA,"1","2","accepted fulltime job","Yes","Yes",50000
"21",1,"Marketing","none",0,1,0,0,1,0,0,0,0,0,0,"No Minor","No Minor","White","Male","2.00 - 2.49",2019,"0","Oxford","Asset Campus Housing","Marketing / Sales",NA,NA,"2","2","accepted fulltime job","Yes","Yes",29000
"22",1,"Finance","none",1,1,0,0,1,0,0,1,0,0,0,"Business Analytics","Business Analytics","White","Male","3.50 - 4.00",2020,"Magna Cum Laude",NA,NA,NA,NA,"Canisius College","2","0","continuing education",NA,NA,NA
"23",1,"Marketing","none",0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.50 - 4.00",2019,"Magna Cum Laude","Chicago","Uber",NA,NA,NA,"3",NA,"accepted fulltime job",NA,NA,53000
"24",1,"Management and Leadership","none",0,1,0,0,0,0,0,0,0,0,0,"Humanities","No Minor","White","Female","3.00 - 3.49",2020,"0","Lincolnshire","Alight Solutions","Human Resources",NA,NA,"2","1","accepted fulltime job","No","Yes",53000
"25",1,"Finance","none",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2021,"0","Charlotte","Vanguard","Finance",NA,NA,"4","1","accepted fulltime job","Yes","Yes",56000
"26",1,"Human Capital Mgmt& Leadership","none",0,1,0,0,1,0,0,0,0,0,0,"No Minor","No Minor","Multi Racial","Female","3.00 - 3.49",2021,"0",NA,NA,NA,NA,NA,"0","0","seeking employment",NA,NA,NA
"27",1,"Finance","none",0,1,0,0,0,0,0,0,0,1,0,"Business Analytics","Business Analytics","White","Male","3.00 - 3.49",2019,"0","Buffalo","M&T Bank",NA,NA,NA,"1","1","accepted fulltime job","Yes",NA,55000
